Player_Name,Points
Malevy Leons,0.16666666666666669
Maxwell Lewis,1.1428571428571426
E.J. Liddell,5.833333333333334
Damian Lillard,44.8235294117647
Dereck Lively II,30.09375
Chris Livingston,1.2857142857142856
Kevon Looney,18.5
Brook Lopez,30.634146341463413
Kevin Love,14.176470588235293
Kyle Lowry,14.96
Trey Lyles,16.3125
Sandro Mamukelashvili,9.24
Terance Mann,16.137931034482758
Tre Mann,22.615384615384617
Lauri Markkanen,32.064516129032256
Naji Marshall,21.852941176470587
Caleb Martin,21.29032258064516
Cody Martin,22.54054054054054
Jaylen Martin,1.3333333333333333
KJ Martin,15.583333333333332
Tyrese Martin,15.892857142857142
Garrison Mathews,16.515151515151516
Bennedict Mathurin,25.880952380952383
Karlo Matković,8.125
Tyrese Maxey,45.48571428571428
Miles McBride,20.114285714285714
Jared McCain,23.304347826086957
Mac McClung,5.0
CJ McCollum,36.54838709677419
T.J. McConnell,24.88095238095238
Jaden McDaniels,24.953488372093023
Bryce McGowens,1.75
Jordan McLaughlin,5.192307692307692
Jack McVeigh,2.166666666666666
De'Anthony Melton,22.0
Sam Merrill,13.971428571428572
Vasilije Micić,12.571428571428573
Khris Middleton,28.111111111111114
Brandon Miller,34.70370370370371
Jordan Miller,9.807692307692303
Leonard Miller,1.6666666666666665
Patty Mills,9.875
Shake Milton,15.222222222222225
Justin Minaya,2.0
Riley Minix,1.0
Josh Minott,7.653846153846153
Yves Missi,25.634146341463413
Ajay Mitchell,13.823529411764708
Davion Mitchell,17.36842105263158
Donovan Mitchell,40.45
Evan Mobley,40.5
Jonathan Mogbo,14.833333333333332
Malik Monk,34.85294117647058
Moses Moody,13.914285714285715
Tazé Moore,7.0
Wendell Moore Jr.,10.588235294117647
Ja Morant,37.6
Markieff Morris,3.6000000000000005
Monté Morris,10.942857142857141
Trey Murphy III,38.28571428571429
Dejounte Murray,40.0
