full_name,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,gp_2014-2015,gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025
Kevin Huerter,0.0,0.0,0.0,0.0,0.2766222222222222,0.47385204081632654,0.378911993278723,0.32395909422936453,29.299999999999997,22.5,17.209302325581394,0.0,0.0,0.0,0.0,75.0,56.0,69.0,74.0,75.0,64.0,43.0
Jay Huff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.4000000000000004,16.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,42.0
Ariel Hukporti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
De'Andre Hunter,0.0,0.0,0.0,0.0,0.0,0.3227513227513228,1.1701323251417768,0.38412246351014606,23.299999999999997,24.1,27.02857142857143,0.0,0.0,0.0,0.0,0.0,63.0,23.0,53.0,67.0,57.0,35.0
Bones Hyland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818735559756354,21.333333333333336,13.700000000000001,13.052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,112.0,37.0,19.0
Oso Ighodaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Joe Ingles,0.1712866527800032,0.12559061118731898,0.23140987507436048,0.3463712076145151,0.35945865556216533,0.34934413580246915,0.40989084428603245,0.4,18.0,13.9,3.1818181818181825,79.0,81.0,82.0,82.0,82.0,72.0,67.0,45.0,46.0,68.0,11.0
Brandon Ingram,0.0,0.0,0.21470918122095817,0.483481758115484,0.5306952662721893,0.625910509885536,0.638000537489922,0.6806611570247935,39.699999999999996,37.9,37.111111111111114,0.0,0.0,79.0,59.0,52.0,62.0,61.0,55.0,45.0,64.0,18.0
Harrison Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kyrie Irving,0.504,0.6105375578497685,0.5821759259259259,0.6863888888888889,0.7068389396302072,2.4524999999999997,0.9242112482853223,1.6575505350772888,49.16666666666667,47.2,42.025641025641015,75.0,53.0,72.0,60.0,67.0,20.0,54.0,29.0,120.0,58.0,39.0
Jonathan Isaac,0.0,0.0,0.0,0.6213991769547325,0.3098666666666666,0.9965397923875434,0.0,0.0,15.4,19.3,18.772727272727273,0.0,0.0,0.0,27.0,75.0,34.0,0.0,0.0,11.0,58.0,44.0
Jaden Ivey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.300000000000004,25.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,30.0
GG Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Isaiah Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5378086419753086,19.5,17.9,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,63.0,59.0,5.0
Quenton Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,4.3,12.777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,18.0
Reggie Jackson,0.3681902513071344,0.39544944720397374,0.4722633136094674,0.557037037037037,0.3124628197501487,0.7013527575442247,0.3138783693472934,0.36693333333333333,17.866666666666667,19.700000000000003,9.448275862068964,77.0,79.0,52.0,45.0,82.0,31.0,67.0,75.0,136.0,82.0,29.0
Andre Jackson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001,11.644444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,45.0
Jaren Jackson Jr.,0.0,0.0,0.0,0.0,0.46076099881093935,0.5506309633733456,0.0,0.415680473372781,40.7,37.599999999999994,41.34042553191489,0.0,0.0,0.0,0.0,58.0,57.0,0.0,78.0,63.0,66.0,47.0
Trayce Jackson-Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.58695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,46.0
Bronny James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
