gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025,Age,Draft Year,full_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Boogie Ellis
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,57.0,47.0,25.0,Undrafted,Keon Ellis
0.0,31.0,63.0,64.0,51.0,51.0,68.0,66.0,39.0,14.0,30.0,2014,Joel Embiid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Aaron Estrada
0.0,0.0,0.0,23.0,22.0,54.0,71.0,78.0,75.0,37.0,28.0,Undrafted,Drew Eubanks
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,16.0,23.0,Undrafted,Tosan Evbuomwan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,2014,Danté Exum
0.0,0.0,0.0,0.0,56.0,33.0,30.0,78.0,45.0,17.0,26.0,2019,Bruno Fernando
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Max Fiedler
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0,2024,Kyle Filipowski
0.0,81.0,21.0,81.0,71.0,60.0,80.0,132.0,68.0,20.0,31.0,Undrafted,Dorian Finney-Smith
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,25.0,Undrafted,Adam Flagler
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,Undrafted,Trentyn Flowers
0.0,0.0,0.0,0.0,0.0,47.0,44.0,53.0,138.0,0.0,,,Malachi Flynn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,132.0,45.0,29.0,Undrafted,Simone Fontecchio
0.0,0.0,73.0,81.0,51.0,58.0,59.0,73.0,74.0,45.0,27.0,2017,De'Aaron Fox
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,2024,Enrique Freeman
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,Andrew Funk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,2024,Johnny Furphy
0.0,0.0,0.0,0.0,43.0,54.0,72.0,78.0,148.0,48.0,26.0,2019,Daniel Gafford
0.0,0.0,0.0,0.0,59.0,54.0,68.0,69.0,57.0,48.0,25.0,2019,Darius Garland
0.0,0.0,0.0,0.0,0.0,0.0,32.0,28.0,25.0,18.0,26.0,2021,Luka Garza
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,38.0,21.0,2023,Keyonte George
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,21.0,2024,Kyshawn George
81.0,75.0,79.0,77.0,48.0,54.0,31.0,56.0,74.0,30.0,34.0,2010,Paul George
73.0,78.0,82.0,70.0,62.0,45.0,52.0,49.0,40.0,20.0,39.0,2009,Taj Gibson
0.0,0.0,0.0,0.0,0.0,0.0,54.0,76.0,80.0,47.0,22.0,2021,Josh Giddey
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Harry Giles III
0.0,0.0,0.0,82.0,70.0,35.0,56.0,68.0,75.0,47.0,26.0,2018,Shai Gilgeous-Alexander
0.0,0.0,0.0,0.0,0.0,26.0,44.0,59.0,50.0,35.0,32.0,Undrafted,Anthony Gill
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,25.0,Undrafted,Collin Gillespie
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,0.0,,,Jacob Gilyard
61.0,81.0,56.0,81.0,68.0,71.0,66.0,70.0,76.0,50.0,32.0,2013,Rudy Gobert
0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,114.0,0.0,,,Jordan Goodwin
78.0,80.0,58.0,78.0,62.0,50.0,75.0,68.0,73.0,28.0,29.0,2014,Aaron Gordon
45.0,75.0,69.0,68.0,36.0,27.0,57.0,138.0,68.0,36.0,36.0,2008,Eric Gordon
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,Undrafted,Jazian Gortman
0.0,0.0,0.0,46.0,63.0,55.0,76.0,146.0,23.0,0.0,,,Devonte' Graham
77.0,80.0,81.0,80.0,71.0,54.0,47.0,63.0,54.0,39.0,30.0,2014,Jerami Grant
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,25.0,Undrafted,AJ Green
81.0,76.0,70.0,66.0,43.0,63.0,46.0,73.0,55.0,35.0,34.0,2012,Draymond Green
0.0,0.0,0.0,0.0,0.0,0.0,67.0,76.0,82.0,50.0,22.0,2021,Jalen Green
0.0,0.0,0.0,0.0,48.0,41.0,65.0,32.0,9.0,45.0,31.0,Undrafted,Javonte Green
80.0,69.0,78.0,77.0,48.0,68.0,75.0,56.0,78.0,14.0,38.0,2007,Jeff Green
0.0,0.0,0.0,0.0,0.0,39.0,67.0,60.0,57.0,44.0,24.0,2020,Josh Green
0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.0,102.0,47.0,24.0,2021,Quentin Grimes
