Player,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG,Predicted_FPPG,Predicted_FPPG_model2,Predicted_GP,Predicted_GP_model2,7_fppg,30_fppg
Mike Conley,,2024-25,0,1610612750,MIN,37.0,54,48,24.85,2.54,6.69,0.38,1.8,4.54,0.4,1.22,1.33,0.92,0.48,2.11,2.59,4.52,1.19,0.19,1.06,1.59,8.09,23.17,20.15,30.65,41.0,61.0,24.0,24.0
Pat Connaughton,,2024-25,0,1610612749,MIL,32.0,31,0,14.81,1.61,3.74,0.43,0.65,2.0,0.32,0.42,0.55,0.76,0.55,2.1,2.65,1.65,0.19,0.29,0.61,1.06,4.29,10.94,9.83,17.23,28.0,55.0,0.0,7.67
Torrey Craig,,2024-25,0,1610612741,CHI,34.0,9,1,12.56,2.44,5.0,0.49,1.67,3.89,0.43,0.33,0.44,0.75,0.89,1.89,2.78,0.56,0.22,0.11,0.0,1.67,6.89,13.56,11.57,16.78,17.0,-14.0,0.5,7.0
Cade Cunningham,,2024-25,0,1610612765,DET,23.0,57,57,35.19,9.4,20.54,0.46,2.25,6.26,0.36,4.25,4.96,0.86,0.81,5.32,6.12,9.39,1.04,0.75,4.42,2.68,25.3,48.3,47.83,36.38,28.0,43.0,44.25,51.5
Seth Curry,,2024-25,0,1610612766,CHA,34.0,50,9,14.36,2.24,4.78,0.47,1.16,2.56,0.45,0.4,0.5,0.8,0.4,1.16,1.56,0.64,0.46,0.14,0.44,0.9,6.04,11.16,11.11,11.5,37.0,39.0,8.67,15.82
Stephen Curry,,2024-25,0,1610612744,GSW,36.0,53,53,32.08,8.04,17.96,0.45,4.43,11.15,0.4,3.58,3.87,0.93,0.53,3.94,4.47,6.28,1.08,0.43,2.81,1.32,24.09,43.81,41.18,46.78,37.0,61.0,65.0,51.54
Anthony Davis,,2024-25,0,1610612747,LAL,31.0,42,42,34.26,9.52,18.05,0.53,0.67,2.24,0.3,6.02,7.64,0.79,2.83,9.05,11.88,3.36,1.29,2.14,2.21,1.95,25.74,53.67,54.04,53.6,39.0,52.0,0.0,68.0
DeMar DeRozan,,2024-25,0,1610612758,SAC,35.0,55,55,35.76,8.04,16.44,0.49,1.04,2.96,0.35,4.84,5.53,0.88,0.53,3.36,3.89,3.89,0.98,0.42,1.33,1.93,21.95,36.55,34.9,39.32,37.0,75.0,33.33,39.83
Donte DiVincenzo,,2024-25,0,1610612750,MIN,28.0,44,8,26.3,3.8,9.43,0.4,2.77,7.16,0.39,0.93,1.14,0.82,0.52,3.18,3.7,3.75,1.3,0.18,1.66,1.68,11.3,25.82,24.06,30.59,33.0,62.0,39.6,39.6
Spencer Dinwiddie,,2024-25,0,1610612742,DAL,31.0,60,19,25.08,3.25,7.95,0.41,1.33,3.97,0.34,2.3,2.8,0.82,0.18,2.15,2.33,3.72,0.82,0.2,1.17,1.52,10.13,21.02,19.84,22.46,41.0,57.0,19.5,19.69
Luka Dončić,,2024-25,0,1610612742,DAL,26.0,22,22,35.68,9.82,21.18,0.46,3.41,9.64,0.35,5.09,6.64,0.77,0.73,7.59,8.32,7.82,2.0,0.41,3.41,2.64,28.14,55.23,52.02,55.35,24.0,7.0,0.0,0.0
Luguentz Dort,,2024-25,0,1610612760,OKC,25.0,57,57,28.82,3.49,8.19,0.43,2.21,5.58,0.4,0.58,0.74,0.79,1.35,2.72,4.07,1.63,1.09,0.58,0.67,3.0,9.77,23.28,22.15,23.43,35.0,46.0,25.0,20.25
Ayo Dosunmu,,2024-25,0,1610612741,CHI,25.0,46,26,30.3,4.8,9.76,0.49,1.35,4.11,0.33,1.35,1.72,0.78,0.57,2.93,3.5,4.52,0.93,0.39,1.5,2.28,12.3,27.98,24.86,25.92,40.0,26.0,22.0,26.71
PJ Dozier,,2024-25,0,1610612750,MIN,28.0,9,0,3.89,0.22,0.33,0.67,0.22,0.33,0.67,0.11,0.67,0.17,0.11,0.44,0.56,0.56,0.11,0.0,0.11,0.33,0.78,2.44,2.21,4.44,20.0,12.0,0.0,0.0
Andre Drummond,,2024-25,0,1610612755,PHI,31.0,37,20,18.68,2.95,5.73,0.51,0.05,0.43,0.12,1.46,2.38,0.61,2.73,5.16,7.89,0.84,1.03,0.41,1.43,2.43,7.41,19.14,19.67,22.02,33.0,56.0,32.0,23.56
Chris Duarte,,2024-25,0,1610612741,CHI,27.0,17,0,4.35,0.71,1.53,0.46,0.35,0.88,0.4,0.35,0.47,0.75,0.29,0.88,1.18,0.53,0.0,0.0,0.06,0.41,2.12,4.35,3.91,6.73,25.0,47.0,0.0,0.0
David Duke Jr.,,2024-25,0,1610612759,SAS,25.0,4,0,4.5,0.5,1.75,0.29,0.0,0.25,0.0,0.25,0.5,0.5,0.0,0.75,0.75,0.75,0.0,0.0,0.25,0.25,1.25,2.0,2.39,16.21,8.0,3.0,3.0,2.5
Kris Dunn,,2024-25,0,1610612746,LAC,30.0,54,38,23.67,2.56,5.96,0.43,0.93,3.02,0.31,0.17,0.3,0.56,0.87,2.72,3.59,2.98,1.8,0.33,1.07,2.65,6.2,22.07,20.72,20.14,39.0,52.0,35.5,31.92
Kevin Durant,,2024-25,0,1610612756,PHX,36.0,49,49,36.84,9.76,18.51,0.53,2.43,6.1,0.4,4.92,5.96,0.82,0.37,5.67,6.04,4.24,0.9,1.35,2.96,1.76,26.86,46.84,46.34,48.75,38.0,62.0,47.5,49.8
Anthony Edwards,,2024-25,0,1610612750,MIN,23.0,60,60,36.48,9.05,20.62,0.44,4.1,10.12,0.4,5.23,6.22,0.84,0.78,5.18,5.97,4.57,1.15,0.62,3.37,1.88,27.43,43.47,45.46,44.63,38.0,37.0,48.75,47.33
Kessler Edwards,,2024-25,0,1610612742,DAL,24.0,31,10,11.58,1.03,2.39,0.43,0.26,0.97,0.27,0.1,0.1,1.0,0.52,1.87,2.39,0.94,0.35,0.39,0.29,1.16,2.42,9.0,8.33,3.51,22.0,13.0,17.67,17.17
Joel Embiid,,2024-25,0,1610612755,PHI,30.0,19,19,30.21,7.37,16.58,0.44,1.21,4.05,0.3,7.84,8.89,0.88,1.89,6.26,8.16,4.47,0.74,0.95,3.26,2.21,23.79,39.42,41.05,63.2,25.0,-1.0,0.0,38.17
Drew Eubanks,,2024-25,0,1610612762,UTA,28.0,37,4,15.35,2.38,3.92,0.61,0.08,0.14,0.6,0.97,1.54,0.63,1.08,3.46,4.54,1.22,0.27,0.86,0.84,1.24,5.81,16.0,15.21,14.91,30.0,15.0,10.0,7.78
Bruno Fernando,,2024-25,0,1610612761,TOR,26.0,17,2,8.65,1.53,2.88,0.53,0.0,0.0,0.0,0.35,0.47,0.75,1.24,1.76,3.0,1.06,0.24,0.53,0.82,1.59,3.41,10.0,9.96,15.34,19.0,44.0,0.0,0.0
Dorian Finney-Smith,,2024-25,0,1610612751,BKN,31.0,20,20,28.95,3.65,7.95,0.46,2.35,5.4,0.44,0.75,1.2,0.62,1.55,3.0,4.55,1.55,0.9,0.6,0.9,2.7,10.4,23.5,22.32,19.82,29.0,64.0,14.0,17.25
De'Aaron Fox,,2024-25,0,1610612758,SAC,27.0,45,45,36.96,9.2,19.62,0.47,2.04,6.36,0.32,4.53,5.47,0.83,1.0,4.0,5.0,6.13,1.47,0.44,2.96,2.62,24.98,43.87,44.52,45.59,46.0,63.0,33.33,38.92
Daniel Gafford,,2024-25,0,1610612742,DAL,26.0,51,28,21.86,4.96,7.1,0.7,0.0,0.0,0.0,2.37,3.39,0.7,2.73,4.14,6.86,1.43,0.41,1.88,1.2,2.67,12.29,30.61,28.27,28.87,45.0,117.0,0.0,28.5
Darius Garland,,2024-25,0,1610612739,CLE,25.0,57,57,30.28,7.58,15.72,0.48,2.95,7.0,0.42,3.02,3.47,0.87,0.58,1.96,2.54,6.7,1.14,0.18,2.42,2.0,21.12,39.42,36.3,30.27,43.0,45.0,32.0,32.36
Luka Garza,,2024-25,0,1610612750,MIN,26.0,30,0,6.17,1.37,2.87,0.48,0.23,1.0,0.23,0.63,0.97,0.66,0.97,0.63,1.6,0.27,0.2,0.1,0.33,0.9,3.6,6.03,6.42,8.12,28.0,14.0,8.75,7.25
Paul George,,2024-25,0,1610612755,PHI,34.0,41,41,32.54,5.98,13.9,0.43,2.34,6.54,0.36,1.93,2.37,0.81,0.59,4.76,5.34,4.34,1.83,0.49,2.59,2.46,16.22,34.29,32.12,40.47,32.0,53.0,33.5,32.73
Taj Gibson,,2024-25,0,1610612766,CHA,39.0,25,11,11.6,1.24,2.6,0.48,0.04,0.08,0.5,0.44,0.64,0.69,1.6,2.16,3.76,0.56,0.32,0.48,0.76,1.56,2.96,9.24,9.42,7.68,23.0,12.0,5.0,13.8
Josh Giddey,,2024-25,0,1610612741,CHI,22.0,57,57,29.44,4.88,10.72,0.46,1.47,3.95,0.37,2.0,2.58,0.78,1.74,5.75,7.49,6.61,1.11,0.63,2.74,1.72,13.23,35.35,31.54,34.6,44.0,65.0,42.0,45.55
Shai Gilgeous-Alexander,,2024-25,0,1610612760,OKC,26.0,60,60,34.2,11.23,21.38,0.52,2.13,5.7,0.37,8.02,8.95,0.9,0.92,4.23,5.15,6.18,1.83,1.03,2.53,2.2,32.62,58.82,53.67,62.16,44.0,59.0,67.5,59.29
Anthony Gill,,2024-25,0,1610612764,WAS,32.0,39,0,5.59,0.59,1.15,0.51,0.15,0.41,0.38,0.49,0.77,0.63,0.15,0.67,0.82,0.18,0.15,0.05,0.15,0.46,1.82,3.41,2.86,7.64,31.0,30.0,3.0,4.0
Rudy Gobert,,2024-25,0,1610612750,MIN,32.0,55,55,33.29,4.27,6.55,0.65,0.0,0.0,0.0,2.44,3.58,0.68,3.53,6.89,10.42,1.84,0.69,1.55,1.36,2.4,10.98,32.15,32.54,36.35,47.0,86.0,0.0,35.6
Aaron Gordon,,2024-25,0,1610612743,DEN,29.0,36,27,27.03,4.64,9.08,0.51,1.22,2.94,0.42,2.39,3.0,0.8,1.58,3.31,4.89,3.14,0.5,0.25,1.25,1.56,12.89,25.36,23.05,31.71,32.0,77.0,18.0,32.25
Eric Gordon,,2024-25,0,1610612755,PHI,36.0,39,13,19.72,2.23,5.23,0.43,1.44,3.51,0.41,0.92,1.23,0.75,0.21,0.97,1.18,1.67,0.67,0.31,0.72,0.82,6.82,14.15,14.03,21.43,37.0,56.0,0.0,7.0
