Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
Mike Muscala,TOT,15.233333333333334,2.1,4.6000000000000005,1.3,3.2999999999999994,0.6,0.7999999999999999,0.6,2.6333333333333333,3.233333333333333,0.7666666666666666,0.2333333333333333,0.3666666666666667,0.39999999999999997,6.066666666666666,126,13.133333333333333
Miles McBride,NYK,11.9,1.2,3.4,0.6,2.1,0.4,0.7,0.2,0.6,0.8,1.1,0.6,0.1,0.4,3.5,64,7.800000000000001
Mitchell Robinson,NYK,27.0,3.2,4.7,0.0,0.0,1.0,2.1,4.5,4.9,9.4,0.9,0.9,1.8,0.7,7.4,59,28.6
Mo Bamba,TOT,14.166666666666666,2.1,4.433333333333334,0.9,2.3333333333333335,0.7999999999999999,1.2666666666666666,1.2,3.3666666666666667,4.6,0.7999999999999999,0.2333333333333333,0.8333333333333334,0.7000000000000001,5.866666666666667,98,15.133333333333333
Monte Morris,WAS,27.3,4.0,8.3,1.3,3.3,1.0,1.2,0.4,3.0,3.4,5.3,0.7,0.2,1.0,10.3,62,26.7
Montrezl Harrell,PHI,11.9,2.2,3.7,0.0,0.1,1.2,1.8,1.2,1.6,2.8,0.6,0.3,0.4,0.6,5.6,57,11.3
Moritz Wagner,ORL,19.5,3.5,6.9,0.9,2.9,2.7,3.2,1.2,3.3,4.5,1.5,0.6,0.2,1.2,10.5,57,19.3
Moses Brown,TOT,6.566666666666666,1.1666666666666667,1.8333333333333333,0.0,0.0,0.6333333333333333,1.3666666666666665,1.0999999999999999,1.5666666666666664,2.6666666666666665,0.06666666666666667,0.2333333333333333,0.26666666666666666,0.43333333333333335,2.9666666666666663,72,6.666666666666666
Moses Moody,GSW,13.0,1.7,3.6,0.8,2.1,0.6,0.8,0.4,1.2,1.7,0.8,0.3,0.1,0.5,4.8,63,9.1
Moussa Diabat�,LAC,8.9,1.1,2.1,0.0,0.1,0.5,0.7,1.4,0.9,2.3,0.2,0.3,0.4,0.4,2.7,22,7.300000000000001
Myles Turner,IND,29.4,6.5,11.8,1.5,4.0,3.5,4.5,1.4,6.1,7.5,1.4,0.6,2.3,1.7,18.0,62,38.2
Naji Marshall,NOP,23.3,3.2,7.4,0.9,2.8,1.8,2.3,0.6,3.0,3.6,2.5,0.7,0.2,1.3,9.1,77,18.1
Nassir Little,POR,18.1,2.5,5.6,1.1,2.9,0.6,0.9,0.5,2.1,2.6,0.9,0.4,0.4,0.7,6.6,54,13.0
Nathan Knight,MIN,7.7,1.2,2.1,0.2,0.6,1.0,1.5,0.6,0.9,1.5,0.3,0.3,0.2,0.6,3.7,38,6.6
Naz Reid,MIN,18.4,4.6,8.5,1.1,3.2,1.3,1.9,1.1,3.8,4.9,1.1,0.6,0.8,1.4,11.5,68,22.6
