Player,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS
Shake Milton,BKN,27,18.22,2.7,5.81,1.04,2.67,0.93,1.22,0.59,1.3,1.89,2.37,0.56,0.04,0.74,7.37
Justin Minaya,POR,6,3.0,0.0,0.17,0.0,0.0,0.0,0.0,0.33,0.17,0.5,0.33,0.17,0.0,0.0,0.0
Riley Minix,SAS,1,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Josh Minott,MIN,30,7.17,1.07,2.27,0.23,0.97,0.3,0.37,0.23,0.83,1.07,0.43,0.4,0.33,0.23,2.67
Yves Missi,NOP,46,26.96,3.43,6.2,0.0,0.02,1.83,2.8,3.52,4.59,8.11,1.37,0.54,1.5,1.17,8.7
Ajay Mitchell,OKC,34,16.5,2.47,4.88,0.65,1.5,0.82,0.97,0.5,1.47,1.97,1.68,0.71,0.09,0.82,6.41
Davion Mitchell,TOR,43,24.72,2.37,5.56,0.95,2.67,0.56,0.84,0.37,1.58,1.95,4.6,0.7,0.19,1.77,6.26
Donovan Mitchell,CLE,47,31.15,8.3,18.45,3.66,9.19,3.43,4.11,0.66,3.64,4.3,4.7,1.4,0.21,1.91,23.68
Evan Mobley,CLE,43,29.91,7.05,12.3,1.09,2.74,3.07,4.05,2.09,7.05,9.14,2.86,0.88,1.47,1.88,18.26
Jonathan Mogbo,TOR,36,16.36,1.94,4.19,0.22,0.69,0.97,1.33,1.75,2.39,4.14,1.56,0.72,0.44,0.86,5.08
Malik Monk,SAC,40,31.85,6.58,14.62,2.3,6.95,2.58,2.95,0.35,3.35,3.7,5.88,1.0,0.57,2.02,18.02
Moses Moody,GSW,41,18.07,3.0,6.88,1.68,4.27,1.07,1.49,0.51,1.61,2.12,1.12,0.49,0.32,0.68,8.76
Tazé Moore,POR,2,10.0,1.0,5.0,0.5,2.0,0.5,1.0,2.0,2.0,4.0,0.5,1.0,0.0,1.0,3.0
Wendell Moore Jr.,DET,20,10.95,1.15,2.5,0.2,0.7,0.65,0.7,0.55,1.65,2.2,1.15,0.5,0.15,0.45,3.15
Ja Morant,MEM,28,28.43,6.96,15.64,1.46,4.79,4.93,6.07,0.64,3.54,4.18,7.5,1.25,0.32,3.89,20.32
Markieff Morris,DAL,7,5.86,0.71,3.14,0.29,1.86,0.0,0.0,0.0,1.14,1.14,0.57,0.14,0.14,0.29,1.71
Monté Morris,PHX,38,12.97,1.76,4.24,0.55,1.82,0.89,1.05,0.26,1.18,1.45,1.66,0.42,0.08,0.42,4.97
Trey Murphy III,NOP,33,35.36,7.45,15.97,3.18,8.61,3.97,4.48,0.91,4.18,5.09,3.06,1.21,0.76,1.64,22.06
Dejounte Murray,NOP,31,32.65,6.26,15.94,1.68,5.61,3.29,4.0,0.55,5.9,6.45,7.35,2.03,0.39,3.42,17.48
Jamal Murray,DEN,43,36.0,7.6,16.51,2.05,5.65,3.14,3.6,0.6,3.42,4.02,6.07,1.44,0.58,2.26,20.4
Keegan Murray,SAC,45,35.11,4.67,10.82,1.82,5.64,0.82,1.0,2.18,4.91,7.09,1.4,0.82,0.87,0.87,11.98
Kris Murray,POR,41,13.78,1.71,3.73,0.39,1.49,0.34,0.78,1.05,1.17,2.22,0.88,0.41,0.2,0.54,4.15
Svi Mykhailiuk,UTA,18,18.89,3.61,8.56,2.17,6.11,0.61,0.78,0.44,1.83,2.28,1.67,0.72,0.28,1.72,10.0
Pete Nance,PHI,7,9.71,0.71,2.14,0.57,1.71,0.14,0.29,0.29,1.14,1.43,0.43,0.14,0.0,0.0,2.14
